E=35 keV
  Dst > -20 nT
    MLT\L,        1.00,        1.20,        1.40,        1.60,        1.80,        2.00,        2.20,        2.40,        2.60,        2.80,        3.00,        3.20,        3.40,        3.60,        3.80,        4.00,        4.20,        4.40,        4.60,        4.80,        5.00,        5.20,        5.40,        5.60,        5.80,        6.00
        0,           0,         671,        1853,        2233,        2165,        2783,        2631,        2279,        2535,        2756,        2583,        2624,        2256,        2336,        2496,        2486,        2571,        2752,        2910,        3683,        4450,        4880,        5335,        6016,        7249,        9513
        2,           0,         927,        1792,        2083,        1876,        2292,        2365,        2182,        2604,        3070,        2990,        2890,        2604,        2679,        2926,        2918,        3031,        3013,        3146,        3894,        4813,        5125,        5529,        6062,        6858,        8975
        4,           0,        1352,        2035,        2031,        1910,        2287,        2373,        2168,        2695,        3250,        3319,        3304,        2690,        2884,        3037,        2975,        3307,        3324,        3456,        4089,        4733,        5337,        6131,        6989,        8703,       12469
        6,           0,        1239,        2757,        2725,        2206,        2794,        2759,        2550,        2701,        2844,        2666,        2446,        2044,        2207,        2377,        2414,        2828,        2989,        3333,        4392,        5419,        6192,        7376,        9105,       13843,       13142
        8,           0,        1177,        2546,        3367,        3072,        3064,        2609,        2121,        2431,        2760,        2921,        2875,        2574,        2815,        3014,        2995,        3266,        3354,        3480,        4621,        6084,        7206,        8707,       12337,       17361,        6363
       10,           0,        1135,        2508,        2659,        2401,        2971,        3148,        2717,        3251,        3558,        3277,        3016,        2736,        2771,        2839,        2690,        2925,        3149,        3430,        4373,        5633,        6661,        8753,       14059,       20031,         747
       12,           0,         987,        2073,        2690,        2349,        2816,        2619,        2192,        2418,        2665,        2494,        2339,        2014,        2210,        2505,        2601,        3124,        3359,        3689,        4689,        6022,        7547,        9957,       15709,       21639,         251
       14,           0,        1011,        1838,        2392,        2322,        2244,        2050,        1755,        1986,        2330,        2280,        2267,        2011,        2239,        2478,        2542,        2877,        3157,        3371,        4738,        6444,        7765,        9911,       16340,       20095,         525
       16,           0,         846,        2222,        2653,        1728,        1968,        2030,        2003,        2197,        2309,        2055,        2141,        1913,        2063,        2287,        2403,        2527,        2681,        2994,        3931,        5134,        6237,        7762,       11570,       16589,        4002
       18,           0,         906,        1705,        2507,        2527,        2813,        2409,        1806,        2156,        2290,        1881,        1957,        2097,        2364,        2558,        2617,        2764,        2886,        3079,        3625,        4281,        4725,        5419,        6639,       10348,        8712
       20,           0,         827,        2011,        2522,        2070,        2830,        2902,        2581,        2781,        2920,        2558,        2224,        1752,        1846,        1989,        2050,        2182,        2261,        2360,        2792,        3236,        3556,        4275,        5211,        7236,       11624
       22,           0,         820,        1983,        2673,        2368,        2537,        2356,        2038,        2313,        2566,        2340,        2331,        1991,        2147,        2315,        2441,        2770,        2875,        2958,        3602,        4451,        4654,        4896,        5068,        5772,        7736
  -50 nT < Dst < -20 nT
